,image,name,price,link,brand,gender
20,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw1fee8ebc/images/2016/CR4080033_REGULAR.jpg, santos smoke,$85.00,http://www.cr8rec.com/creative-recreation-santos-smoke/CR4080033.html?dwvar_CR4080033_color=04,Creative Recreation,m
21,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwd7daecd1/images/2016/CR0130007_REGULAR.jpg, deross red,$130.00,http://www.cr8rec.com/creative-recreation-deross-red/CR0130007.html?dwvar_CR0130007_color=60,Creative Recreation,m
22,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwfc102bf9/images/2016/CR0160009_REGULAR.jpg, scopo black red,$150.00,http://www.cr8rec.com/creative-recreation-scopo-black-red/CR0160009.html?dwvar_CR0160009_color=01,Creative Recreation,m
23,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwf4a15ac3/images/2016/CR0170012_REGULAR.jpg, adonis mid black olive fog,$120.00,http://www.cr8rec.com/creative-recreation-adonis-mid-black-olive-fog/CR0170012.html?dwvar_CR0170012_color=01,Creative Recreation,m
24,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw04f808c0/images/2016/CR0170013_REGULAR.jpg, adonis mid black,$120.00,http://www.cr8rec.com/creative-recreation-adonis-mid-black/CR0170013.html?dwvar_CR0170013_color=01,Creative Recreation,m
25,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwf6f0b04f/images/2016/CR0200001_REGULAR.jpg, cesario woven black white,$100.00,http://www.cr8rec.com/creative-recreation-cesario-woven-black-white/CR0200001.html?dwvar_CR0200001_color=01,Creative Recreation,m
26,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw706d132f/images/2016/CR0210028_REGULAR.jpg, lacava q black white,$85.00,http://www.cr8rec.com/creative-recreation-lacava-q-black-white/CR0210028.html?dwvar_CR0210028_color=01,Creative Recreation,m
27,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwbe42bc07/images/2016/CR0350004_REGULAR.jpg, bilotti navy,$90.00,http://www.cr8rec.com/creative-recreation-bilotti-navy/CR0350004.html?dwvar_CR0350004_color=40,Creative Recreation,m
28,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw435fdcef/images/2016/CR0360001_REGULAR.jpg, manzo black,$95.00,http://www.cr8rec.com/creative-recreation-manzo-black/CR0360001.html?dwvar_CR0360001_color=01,Creative Recreation,m
29,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwd263c9fd/images/2016/CR0370002_REGULAR.jpg, napoli black,$120.00,http://www.cr8rec.com/creative-recreation-napoli-black/CR0370002.html?dwvar_CR0370002_color=01,Creative Recreation,m
30,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw21249f06/images/2016/CR0360003_REGULAR.jpg, manzo white black grey,$95.00,http://www.cr8rec.com/creative-recreation-manzo-white-black-grey/CR0360003.html?dwvar_CR0360003_color=01,Creative Recreation,m
31,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwa19acd8b/images/2016/CR0630013_REGULAR.jpg, vito raven,$90.00,http://www.cr8rec.com/creative-recreation-vito-raven/CR0630013.html?dwvar_CR0630013_color=04,Creative Recreation,m
32,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw2371a5ca/images/2016/CR0630014_REGULAR.jpg, vito dark suiting,$90.00,http://www.cr8rec.com/creative-recreation-vito-dark-suiting/CR0630014.html?dwvar_CR0630014_color=01,Creative Recreation,m
