,image,name,price,brand,link,gender
34,http://cdn.yoox.biz/11/11063075OS_11_n_f.jpg,DRIVING SHOE IN SUEDE,$ 525.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
35,http://cdn.yoox.biz/11/11063430MB_11_n_f.jpg,MOCCASINS,$ 417.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
36,http://cdn.yoox.biz/11/11063085UN_11_n_f.jpg,DRIVER SHOE IN CROC PRINT CALFSKIN,$ 465.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
37,http://cdn.yoox.biz/11/11063093VR_11_n_f.jpg,PATENT SLIP-ON,$ 477.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
38,http://cdn.yoox.biz/11/11154173NJ_11_n_f.jpg,MOCCASINS,$ 925.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
39,http://cdn.yoox.biz/11/11155174FG_11_n_f.jpg,HEAVY-DUTY BOOT IN CALFSKIN,"$ 1,195.00",Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
40,http://cdn.yoox.biz/11/11081578BN_11_n_f.jpg,DEMI BOOT IN BOARDED CALFSKIN,$ 645.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
41,http://cdn.yoox.biz/11/11063107KK_11_n_f.jpg,DEMI BOOT IN SUEDE,$ 465.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
42,http://cdn.yoox.biz/11/11063072NI_11_n_f.jpg,SUEDE DERBY,$ 465.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
43,http://cdn.yoox.biz/11/11094554VR_11_n_f.jpg,DEMI BOOT IN SUEDE,$ 615.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
44,http://cdn.yoox.biz/11/11092824XE_11_n_f.jpg,SUEDE SLIP-ON,$ 507.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
45,http://cdn.yoox.biz/11/11090679RH_11_n_f.jpg,SUEDE SLIP-ON,$ 507.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
46,http://cdn.yoox.biz/11/11073213BF_11_n_f.jpg,SNEAKER IN PRINTED CALFSKIN,$ 465.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
47,http://cdn.yoox.biz/11/11094551KR_11_n_f.jpg,CALFSKIN DERBY,$ 507.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
48,http://cdn.yoox.biz/11/11063420SF_11_n_f.jpg,LACE-UP SHOE,$ 417.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
49,http://cdn.yoox.biz/11/11063400WE_11_n_f.jpg,LACE-UP SHOE,$ 435.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
50,http://cdn.yoox.biz/11/11063049KG_11_n_f.jpg,PATENT BROGUE,$ 525.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
51,http://cdn.yoox.biz/11/11063324EW_11_n_f.jpg,DERBY IN BRUSHED CALFSKIN,$ 417.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
52,http://cdn.yoox.biz/44/44992282SR_11_n_f.jpg,CALFSKIN DERBY,"$ 1,395.00",Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
53,http://cdn.yoox.biz/11/11090677GX_11_n_f.jpg,CALFSKIN DERBY,$ 585.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
