,brand,category,gender,image,link,name,price
44,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/600848045.tif&$img1=ugc/821219516.tif&$img2=ugc/559973749.tif,http://store.nike.com/us/en_us/product/mercurial-superfly-v-id/?piid=42919&pbid=600848045#?pbid=600848045,Nike Mercurial Superfly V FG iD,$340
45,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/436309758.tif&$img1=ugc/196526272.tif&$img2=ugc/1051413503.tif,http://store.nike.com/us/en_us/product/mercurial-superfly-v-id/?piid=42915&pbid=436309758#?pbid=436309758,Nike Mercurial Superfly V FG iD,$340
46,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/937805672.tif&$img1=ugc/967362538.tif&$img2=ugc/608905929.tif,http://store.nike.com/us/en_us/product/hypervenom-phantom-ii-id/?piid=42921&pbid=937805672#?pbid=937805672,Nike Hypervenom Phantom II FG iD,$315
47,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_legacy?$NIKE_PWPx3$&$img0=ugc/867319933.tif&$img1=ugc/119357690.tif&$img2=ugc/170889298.tif,http://store.nike.com/us/en_us/product/tiempo-legend-vi-id-shoe/?piid=42927&pbid=867319933#?pbid=867319933,Nike Tiempo Legend VI FG iD,$250
48,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_legacy?$NIKE_PWPx3$&$img0=ugc/1005869485.tif,http://store.nike.com/us/en_us/product/tiempo-legend-vi-id-shoe/?piid=43371&pbid=1005869485#?pbid=1005869485,Nike Tiempo Legend VI FG iD,$250
49,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/461047059.tif&$img1=ugc/926241147.tif&$img2=ugc/809723765.tif,http://store.nike.com/us/en_us/product/magista-obra-ii-id/?piid=42782&pbid=461047059#?pbid=461047059,Nike Magista Obra II AG-PRO iD,$350
50,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/1027908457.tif&$img1=ugc/1096729477.tif&$img2=ugc/683894871.tif,http://store.nike.com/us/en_us/product/magista-obra-ii-id/?piid=42784&pbid=1027908457#?pbid=1027908457,Nike Magista Obra II SG-PRO iD,$350
51,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/375732584.tif&$img1=ugc/330627768.tif&$img2=ugc/633054890.tif,http://store.nike.com/us/en_us/product/mercurial-vapor-xi-id/?piid=42508&pbid=375732584#?pbid=375732584,Nike Mercurial Vapor XI SG-PRO iD,$280
52,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/839314167.tif&$img1=ugc/281102232.tif&$img2=ugc/964434850.tif,http://store.nike.com/us/en_us/product/mercurial-vapor-xi-id/?piid=42510&pbid=839314167#?pbid=839314167,Nike Mercurial Vapor XI AG-PRO iD,$280
53,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/196738466.tif&$img1=ugc/337987105.tif&$img2=ugc/533948317.tif,http://store.nike.com/us/en_us/product/hypervenom-phantom-ii-id/?piid=42922&pbid=196738466#?pbid=196738466,Nike Hypervenom Phantom II SG-PRO iD,$325
54,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/402493271.tif&$img1=ugc/398904017.tif&$img2=ugc/943514010.tif,http://store.nike.com/us/en_us/product/mercurial-superfly-v-id/?piid=42916&pbid=402493271#?pbid=402493271,Nike Mercurial Superfly V AG-PRO iD,$350
55,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/200215222.tif&$img1=ugc/979914331.tif&$img2=ugc/321770949.tif,http://store.nike.com/us/en_us/product/mercurial-superfly-v-id/?piid=42917&pbid=200215222#?pbid=200215222,Nike Mercurial Superfly V SG-PRO iD,$350
56,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/728829187.tif&$img1=ugc/429467734.tif&$img2=ugc/1037450382.tif,http://store.nike.com/us/en_us/product/hypervenom-phantom-ii-id/?piid=42923&pbid=728829187#?pbid=728829187,Nike Hypervenom Phantom II AG iD,$280
57,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/628404495.tif&$img1=ugc/267404882.tif&$img2=ugc/634044932.tif,http://store.nike.com/us/en_us/product/mercurial-vapor-xi-id/?piid=42506&pbid=628404495#?pbid=628404495,Nike Mercurial Vapor XI AG-PRO iD,$280
58,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_legacy?$NIKE_PWPx3$&$img0=ugc/223478040.tif&$img1=ugc/1053069989.tif&$img2=ugc/1089010792.tif,http://store.nike.com/us/en_us/product/tiempo-legend-vi-id-shoe/?piid=42928&pbid=223478040#?pbid=223478040,Nike Tiempo Legend VI SG-PRO iD,$260
59,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/459244721.tif&$img1=ugc/1029206718.tif&$img2=ugc/692385357.tif,http://store.nike.com/us/en_us/product/mercurialx-proximo-ii-id/?piid=42739&pbid=459244721#?pbid=459244721,Nike MercurialX Proximo II IC iD,$215
60,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/190312360.tif&$img1=ugc/261495454.tif&$img2=ugc/367097821.tif,http://store.nike.com/us/en_us/product/mercurialx-proximo-ii-id/?piid=42743&pbid=190312360#?pbid=190312360,Nike MercurialX Proximo II IC iD,$215
61,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_legacy?$NIKE_PWPx3$&$img0=ugc/357230467.tif&$img1=ugc/189185624.tif&$img2=ugc/1082309680.tif,http://store.nike.com/us/en_us/product/tiempo-legend-vi-id-shoe/?piid=42929&pbid=357230467#?pbid=357230467,Nike Tiempo Legend VI AG-R iD,$250
62,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/936507692.tif&$img1=ugc/198548712.tif&$img2=ugc/615375347.tif,http://store.nike.com/us/en_us/product/mercurialx-proximo-ii-id/?piid=42738&pbid=936507692#?pbid=936507692,Nike MercurialX Proximo II TF iD,$215
63,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/963862984.tif&$img1=ugc/679414903.tif&$img2=ugc/870319354.tif,http://store.nike.com/us/en_us/product/mercurialx-proximo-ii-id/?piid=42742&pbid=963862984#?pbid=963862984,Nike MercurialX Proximo II TF iD,$215
64,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852528_376,http://store.nike.com/us/en_us/pd/mercurial-victory-vi-cr7-mens-firm-ground-soccer-cleat/pid-11157161/pgid-11629492,Nike Mercurial Victory VI CR7 FG,$85
65,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819216_018,http://store.nike.com/us/en_us/pd/tiempox-genio-ii-leather-mens-turf-soccer-shoe/pid-11155528/pgid-10340490,Nike TiempoX Genio II Leather TF,$65
66,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819213_018,http://store.nike.com/us/en_us/pd/tiempo-genio-ii-leather-mens-firm-ground-soccer-cleat/pid-11155521/pgid-10340494,Nike Tiempo Genio II Leather FG,$65
67,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831940_585,http://store.nike.com/us/en_us/pd/mercurial-superfly-v-mens-firm-ground-soccer-cleat/pid-11155801/pgid-11877961,Nike Mercurial Superfly V FG,$174.97
68,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852516_001,http://store.nike.com/us/en_us/pd/mercurial-vapor-xi-tech-craft-2-mens-firm-ground-soccer-cleat/pid-11229712/pgid-11878216,Nike Mercurial Vapor XI Tech Craft 2.0 FG,$174.97
69,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852504_001,http://store.nike.com/us/en_us/pd/magista-obra-ii-tech-craft-2-mens-firm-ground-soccer-cleat/pid-11229709/pgid-11878213,Nike Magista Obra II Tech Craft 2.0 FG,$249.97
70,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852509_001,http://store.nike.com/us/en_us/pd/mercurial-superfly-v-tech-craft-2-mens-firm-ground-soccer-cleat/pid-11229711/pgid-11878215,Nike Mercurial Superfly V Tech Craft 2.0 FG,$249.97
71,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852645_001,http://store.nike.com/us/en_us/pd/hypervenom-phantom-ii-tech-craft-2-mens-firm-ground-soccer-cleat/pid-11229714/pgid-11878211,Nike HyperVenom Phantom II Tech Craft 2.0,$249.97
72,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819177_004&$img1=819177_443,http://store.nike.com/us/en_us/pd/tiempo-legend-vi-mens-firm-ground-soccer-cleat/pid-11051946/pgid-11340029,Nike Tiempo Legend VI FG,$124.97
73,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819177_307,http://store.nike.com/us/en_us/pd/tiempo-legend-vi-mens-firm-ground-soccer-cleat/pid-10950645/pgid-11887175,Nike Tiempo Legend VI FG,$104.97
74,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831955_585,http://store.nike.com/us/en_us/pd/mercurial-superfly-v-ag-pro-menssoccer-cleat/pid-11155824/pgid-11878021,Nike Mercurial Superfly V AG-PRO,$174.97
75,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831956_585,http://store.nike.com/us/en_us/pd/mercurial-superfly-v-sg-pro-mens-soft-ground-soccer-cleat/pid-11155825/pgid-11878015,Nike Mercurial Superfly V SG-PRO,$174.97
76,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819680_443,http://store.nike.com/us/en_us/pd/tiempo-legend-vi-mens-soft-ground-soccer-cleat/pid-11155595/pgid-11877991,Nike Tiempo Legend VI SG-PRO,$129.97
77,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831976_085,http://store.nike.com/us/en_us/pd/mercurialx-proximo-ii-mens-indoor-court-soccer-shoe/pid-11155862/pgid-11877913,Nike MercurialX Proximo II IC,$99.97
