,image,name,price,link,color,brand,gender
27,http://clarks.scene7.com/is/image/clarks/26125145_AZ?$prod_list$,Candra Blush,$95.00,http://www.clarksusa.com/us/womens/womens-flats/candra-blush-dusty-pink-leather/p/26125145,Dusty Pink Leather,Clarks,w
28,http://clarks.scene7.com/is/image/clarks/26125121_AZ?$prod_list$,Wave Andes,$140.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-active/wave-andes-white-leather/p/26125121,White Leather,Clarks,w
29,http://clarks.scene7.com/is/image/clarks/26123147_AZ?$prod_list$,Aisley Tulip,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-tulip-yellow-nubuck/p/26123147,Yellow Nubuck,Clarks,w
30,http://clarks.scene7.com/is/image/clarks/26126007_AZ?$prod_list$,Allys Veranisa,$30.00,http://www.clarksusa.com/us/womens/womens-slippers/allys-veranisa-grey/p/26126007,Grey,Clarks,w
31,http://clarks.scene7.com/is/image/clarks/26035588_AZ?$prod_list$,Bayou Q,$85.00,http://www.clarksusa.com/us/womens/womens-flats/bayou-q-black-leather/p/26035588,Black Leather,Clarks,w
32,http://clarks.scene7.com/is/image/clarks/26063067_AZ?$prod_list$,Ashland Lane Q,$85.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-comfort-shoes/ashland-lane-q-redwood/p/26063067,Redwood,Clarks,w
33,http://clarks.scene7.com/is/image/clarks/26124263_AZ?$prod_list$,Zyris Toledo,$110.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/zyris-toledo-dark-tan-leather-fabric-combi/p/26124263,Dark Tan Leather/Fabric Combi,Clarks,w
34,http://clarks.scene7.com/is/image/clarks/26125968_AZ?$prod_list$,Allys Veranisa,$50.00,http://www.clarksusa.com/us/womens/womens-slippers/allys-veranisa-black/p/26125968,Black,Clarks,w
35,http://clarks.scene7.com/is/image/clarks/26035589_AZ?$prod_list$,Bayou Q,$85.00,http://www.clarksusa.com/us/womens/womens-flats/bayou-q-brown-leather/p/26035589,Brown Leather,Clarks,w
36,http://clarks.scene7.com/is/image/clarks/26035590_AZ?$prod_list$,Bayou Q,$85.00,http://www.clarksusa.com/us/womens/womens-flats/bayou-q-navy-leather/p/26035590,Navy Leather,Clarks,w
37,http://clarks.scene7.com/is/image/clarks/26063065_AZ?$prod_list$,Ashland Lane Q,$85.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-comfort-shoes/ashland-lane-q-navy/p/26063065,Navy,Clarks,w
38,http://clarks.scene7.com/is/image/clarks/26068766_AZ?$prod_list$,Ashland Lane Q,$85.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-comfort-shoes/ashland-lane-q-pewter-leather/p/26068766,Pewter Leather,Clarks,w
39,http://clarks.scene7.com/is/image/clarks/26115191_AZ?$prod_list$,Blanche Fria,$90.00,http://www.clarksusa.com/us/womens/womens-flats/blanche-fria-black-leather/p/26115191,Black Leather,Clarks,w
40,http://clarks.scene7.com/is/image/clarks/26104709_AZ?$prod_list$,Bayou Q,$85.00,http://www.clarksusa.com/us/womens/womens-flats/bayou-q-brown-synthetic/p/26104709,Brown Synthetic,Clarks,w
41,http://clarks.scene7.com/is/image/clarks/26116155_AZ?$prod_list$,Sillian Rest,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/sillian-rest-cherry-synthetic/p/26116155,Cherry Synthetic,Clarks,w
42,http://clarks.scene7.com/is/image/clarks/26125499_AZ?$prod_list$,Breeze Mila,$55.00,http://www.clarksusa.com/us/womens-collections/womens-collection/breeze-mila-black-synthetic/p/26125499,Black Synthetic,Clarks,w
43,http://clarks.scene7.com/is/image/clarks/26124067_AZ?$prod_list$,Glick Shine,$120.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/glick-shine-light-tan-lea/p/26124067,Light Tan Lea,Clarks,w
44,http://clarks.scene7.com/is/image/clarks/26123814_AZ?$prod_list$,Clarene Glamor,$130.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/clarene-glamor-sage-nubuck/p/26123814,Sage Nubuck,Clarks,w
45,http://clarks.scene7.com/is/image/clarks/26124279_AZ?$prod_list$,Clarene Glamor,$130.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/clarene-glamor-red-nubuck/p/26124279,Red Nubuck,Clarks,w
46,http://clarks.scene7.com/is/image/clarks/26125083_AZ?$prod_list$,Glick Castine,$120.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/glick-castine-navy-leather/p/26125083,Navy Leather,Clarks,w
47,http://clarks.scene7.com/is/image/clarks/26124913_AZ?$prod_list$,Keesha Luca,$100.00,http://www.clarksusa.com/us/womens/womens-flats/keesha-luca-dusty-pink-lizard-leather/p/26124913,Dusty Pink Lizard Leather,Clarks,w
48,http://clarks.scene7.com/is/image/clarks/26124144_AZ?$prod_list$,Janey Mae,$110.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/janey-mae-black-nubuck/p/26124144,Black Nubuck,Clarks,w
49,http://clarks.scene7.com/is/image/clarks/26124207_AZ?$prod_list$,Chorus Chime,$110.00,http://www.clarksusa.com/us/womens/womens-heels/chorus-chime-black-leather/p/26124207,Black Leather,Clarks,w
50,http://clarks.scene7.com/is/image/clarks/26124183_AZ?$prod_list$,Ledella Meg,$130.00,http://www.clarksusa.com/us/womens/womens-clogs/ledella-meg-light-tan-leather/p/26124183,Light Tan Leather,Clarks,w
51,http://clarks.scene7.com/is/image/clarks/26125090_AZ?$prod_list$,Aisley Lily,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-lily-navy-combi-suede/p/26125090,Navy Combi Suede,Clarks,w
52,http://clarks.scene7.com/is/image/clarks/26123614_AZ?$prod_list$,Hidi Haze,$140.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-active/hidi-haze-nude-leather/p/26123614,Nude Leather,Clarks,w
53,http://clarks.scene7.com/is/image/clarks/26124439_AZ?$prod_list$,Jocolin Vista,$85.00,http://www.clarksusa.com/us/womens/womens-flats/jocolin-vista-navy-perf-microfiber/p/26124439,Navy Perf Microfiber,Clarks,w
54,http://clarks.scene7.com/is/image/clarks/26124455_AZ?$prod_list$,Jocolin Maye,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/jocolin-maye-black-perf-textile/p/26124455,Black Perf Textile,Clarks,w
55,http://clarks.scene7.com/is/image/clarks/26101486_AZ?$prod_list$,Brier Dolly,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/brier-dolly-navy-synthetic/p/26101486,Navy Synthetic,Clarks,w
56,http://clarks.scene7.com/is/image/clarks/26123441_AZ?$prod_list$,Kendra Charm,$110.00,http://www.clarksusa.com/us/womens-collections/womens-wide-width/kendra-charm-navy-suede/p/26123441,Navy Suede,Clarks,w
57,http://clarks.scene7.com/is/image/clarks/26123443_AZ?$prod_list$,Kendra Charm,$110.00,http://www.clarksusa.com/us/womens-collections/womens-wide-width/kendra-charm-black-leather/p/26123443,Black Leather,Clarks,w
58,http://clarks.scene7.com/is/image/clarks/26124799_AZ?$prod_list$,Leisa Lacole,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/leisa-lacole-white-leather/p/26124799,White Leather,Clarks,w
59,http://clarks.scene7.com/is/image/clarks/26125502_AZ?$prod_list$,Breeze Mila,$55.00,http://www.clarksusa.com/us/womens-collections/womens-collection/breeze-mila-taupe-synethetic/p/26125502,Taupe Synethetic,Clarks,w
60,http://clarks.scene7.com/is/image/clarks/26125500_AZ?$prod_list$,Breeze Mila,$55.00,http://www.clarksusa.com/us/womens-collections/womens-collection/breeze-mila-navy-synthetic/p/26125500,Navy Synthetic,Clarks,w
61,http://clarks.scene7.com/is/image/clarks/26124800_AZ?$prod_list$,Leisa Lacole,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/leisa-lacole-pewter-metallic-leather/p/26124800,Pewter Metallic Leather,Clarks,w
62,http://clarks.scene7.com/is/image/clarks/26125289_AZ?$prod_list$,Gracelin Gemma,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/gracelin-gemma-black-leather/p/26125289,Black Leather,Clarks,w
63,http://clarks.scene7.com/is/image/clarks/26125292_AZ?$prod_list$,Gracelin Gemma,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/gracelin-gemma-red-leather/p/26125292,Red Leather,Clarks,w
64,http://clarks.scene7.com/is/image/clarks/26124663_AZ?$prod_list$,Arla Glison,$65.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-flip-flops-sandals/arla-glison-blue-heather-fabric/p/26124663,Blue Heather Fabric,Clarks,w
65,http://clarks.scene7.com/is/image/clarks/26124403_AZ?$prod_list$,Medora Elie,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/medora-elie-yellow-leather/p/26124403,Yellow Leather,Clarks,w
66,http://clarks.scene7.com/is/image/clarks/26124920_AZ?$prod_list$,Parram Stella,$100.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/parram-stella-coral-nubuck/p/26124920,Coral Nubuck,Clarks,w
67,http://clarks.scene7.com/is/image/clarks/26124209_AZ?$prod_list$,Ralene Luster,$110.00,http://www.clarksusa.com/us/womens/womens-heels/ralene-luster-black-leather/p/26124209,Black Leather,Clarks,w
