,brand,category,color,gender,image,link,name,price
378,Clarks,heels,Pewter Metallic Leather,w,http://clarks.scene7.com/is/image/clarks/26117199_AZ?$prod_list$,http://www.clarksusa.com/us/womens-collections/womens-metallic-sandals/helio-float4-pewter-metallic-leather/p/26117199,Helio Float4,$90.00
379,Clarks,heels,Black Synthetic,w,http://clarks.scene7.com/is/image/clarks/26104938_AZ?$prod_list$,http://www.clarksusa.com/us/womens-collections/womens-collection/liya-gander-black-synthetic/p/26104938,Liya Gander,$55.00
380,Clarks,heels,Grenadine Nubuck,w,http://clarks.scene7.com/is/image/clarks/26114820_AZ?$prod_list$,http://www.clarksusa.com/us/womens-collections/womens-wide-width/clarene-award-grenadine-nubuck/p/26114820,Clarene Award,$130.00
381,Clarks,heels,Pewter Synthetic,w,http://clarks.scene7.com/is/image/clarks/26104937_AZ?$prod_list$,http://www.clarksusa.com/us/womens-collections/womens-collection/liya-gander-pewter-synthetic/p/26104937,Liya Gander,$55.00
382,Clarks,heels,White Leather,w,http://clarks.scene7.com/is/image/clarks/26114819_AZ?$prod_list$,http://www.clarksusa.com/us/womens-collections/womens-medium-width/clarene-award-white-leather/p/26114819,Clarene Award,$130.00
383,Clarks,heels,Black Nubuck,w,http://clarks.scene7.com/is/image/clarks/26120756_AZ?$prod_list$,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/temira-north-black-nubuck/p/26120756,Temira North,$100.00
384,Clarks,heels,Champagne Metallic Leather,w,http://clarks.scene7.com/is/image/clarks/26120432_AZ?$prod_list$,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-heels/jenness-night-champagne-metallic-leather/p/26120432,Jenness Night,$110.00
385,Clarks,heels,Navy Nubuck,w,http://clarks.scene7.com/is/image/clarks/26114821_AZ?$prod_list$,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/clarene-award-navy-nubuck/p/26114821,Clarene Award,$130.00
386,Clarks,heels,Black Nubuck,w,http://clarks.scene7.com/is/image/clarks/26115454_AZ?$prod_list$,http://www.clarksusa.com/us/womens-collections/womens-medium-width/clarene-award-black-nubuck/p/26115454,Clarene Award,$130.00
387,Clarks,heels,Navy Nubuck,w,http://clarks.scene7.com/is/image/clarks/26108493_AZ?$prod_list$,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/clarene-prima-navy-nubuck/p/26108493,Clarene Prima,$130.00
