,image,name,price,link,color,brand,gender
27,http://clarks.scene7.com/is/image/clarks/26120119_AZ?$prod_list$,Weaver Boot,$109.99,http://www.clarksusa.com/us/originals/originals-mens-boots/weaver-boot-charcoal-suede/p/26120119,Charcoal Suede,Clarks,m
28,http://clarks.scene7.com/is/image/clarks/26120122_AZ?$prod_list$,Weaver Boot,$119.99,http://www.clarksusa.com/us/originals/originals-mens-boots/weaver-boot-cola-suede/p/26120122,Cola Suede,Clarks,m
29,http://clarks.scene7.com/is/image/clarks/26118547_AZ?$prod_list$,Desert Boot,$119.99,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-dark-tan-suede/p/26118547,Dark Tan Suede,Clarks,m
30,http://clarks.scene7.com/is/image/clarks/26118558_AZ?$prod_list$,Desert Boot,$119.99,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-dark-green-suede/p/26118558,Dark Green Suede,Clarks,m
31,http://clarks.scene7.com/is/image/clarks/26118564_AZ?$prod_list$,Desert Boot,$119.99,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-charcoal-suede/p/26118564,Charcoal Suede,Clarks,m
32,http://clarks.scene7.com/is/image/clarks/26118563_AZ?$prod_list$,Desert Boot,$109.99,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-dark-taupe-nubuck/p/26118563,Dark Taupe Nubuck,Clarks,m
33,http://clarks.scene7.com/is/image/clarks/26118562_AZ?$prod_list$,Wallabee Boot,$119.99,http://www.clarksusa.com/us/originals/originals-mens/wallabee-boot-bronze-suede/p/26118562,Bronze Suede,Clarks,m
34,http://clarks.scene7.com/is/image/clarks/26122514_AZ?$prod_list$,Wallabee Boot,$119.99,http://www.clarksusa.com/us/originals/mens-wallabees/wallabee-boot-grey-warm-lined-suede/p/26122514,Grey Warm Lined Suede,Clarks,m
35,http://clarks.scene7.com/is/image/clarks/26118565_AZ?$prod_list$,Desert Boot,$119.99,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-bronze-nubuck/p/26118565,Bronze Nubuck,Clarks,m
36,http://clarks.scene7.com/is/image/clarks/26106561_AZ?$prod_list$,Desert Boot,$119.99,http://www.clarksusa.com/us/mens/mens-view-all/desert-boot-wolf-suede/p/26106561,Wolf Suede,Clarks,m
37,http://clarks.scene7.com/is/image/clarks/26118581_AZ?$prod_list$,Desert Boot,$119.99,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-multicolour-suede/p/26118581,Multicolour Suede,Clarks,m
38,http://clarks.scene7.com/is/image/clarks/26119975_AZ?$prod_list$,Desert Mali,$119.99,http://www.clarksusa.com/us/originals/originals-mens-boots/desert-mali-black-beeswax-leather/p/26119975,Black Beeswax Leather,Clarks,m
39,http://clarks.scene7.com/is/image/clarks/26121692_AZ?$prod_list$,Desert Mali,$109.99,http://www.clarksusa.com/us/originals/originals-mens-boots/desert-mali-loden-green-suede/p/26121692,Loden Green Suede,Clarks,m
40,http://clarks.scene7.com/is/image/clarks/26118569_AZ?$prod_list$,Wallabee Boot,$119.99,http://www.clarksusa.com/us/originals/originals-mens/wallabee-boot-rust-vintage-suede/p/26118569,Rust Vintage Suede,Clarks,m
41,http://clarks.scene7.com/is/image/clarks/26113257_AZ?$prod_list$,Desert Mali,$119.99,http://www.clarksusa.com/us/mens/mens-view-all/desert-mali-taupe-distressed/p/26113257,Taupe Distressed,Clarks,m
42,http://clarks.scene7.com/is/image/clarks/26118559_AZ?$prod_list$,Desert Boot,$99.99,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-nut-brown-suede/p/26118559,Nut Brown Suede,Clarks,m
43,http://clarks.scene7.com/is/image/clarks/26112780_AZ?$prod_list$,Desert Boot,$119.99,http://www.clarksusa.com/us/mens/mens-view-all/desert-boot-navy-leather/p/26112780,Navy Leather,Clarks,m
44,http://clarks.scene7.com/is/image/clarks/26109447_AZ?$prod_list$,Desert Mali,$119.99,http://www.clarksusa.com/us/mens/mens-view-all/desert-mali-rust-leather/p/26109447,Rust Leather,Clarks,m
45,http://clarks.scene7.com/is/image/clarks/26119025_AZ?$prod_list$,Desert Boot GTX,$79.99,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/desert-boot-gtx-black-suede/p/26119025,Black Suede,Clarks,m
46,http://clarks.scene7.com/is/image/clarks/26120547_AZ?$prod_list$,Feren Top,$79.99,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/feren-top-black-leather/p/26120547,Black Leather,Clarks,m
47,http://clarks.scene7.com/is/image/clarks/26120699_AZ?$prod_list$,Kenley Walk,$119.99,http://www.clarksusa.com/us/mens/mens-shoes/mens-oxfords-lace-ups/kenley-walk-burgundy-leather/p/26120699,Burgundy Leather,Clarks,m
48,http://clarks.scene7.com/is/image/clarks/26113059_AZ?$prod_list$,Milwright Hi,$129.99,http://www.clarksusa.com/us/mens/mens-view-all/milwright-hi-tan-tumbled-nubuck-wl/p/26113059,Tan Tumbled Nubuck-WL,Clarks,m
49,http://clarks.scene7.com/is/image/clarks/26110151_AZ?$prod_list$,Faulkner Rise,$119.99,http://www.clarksusa.com/us/mens/mens-view-all/faulkner-rise-black-leather/p/26110151,Black Leather,Clarks,m
