,image,name,price,link,gender
19,http://nord.imgix.net/Zoom/8/_12939948.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Natel' High Top Sneaker (Men),$89.90,http://shop.nordstrom.com/s/calvin-klein-natel-high-top-sneaker-men/4502726?origin=category-personalizedsort&fashioncolor=DARK%20RED,m
20,http://nord.imgix.net/Zoom/2/_11684982.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Aquatalia 'Bruce' Weatherproof Driving Shoe (Men),$236.90,http://shop.nordstrom.com/s/bruce-slip-on-driver/4441652?origin=category-personalizedsort&fashioncolor=ORANGE%20SUEDE,m
21,http://nord.imgix.net/Zoom/12/_12182212.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Zolton' Sneaker (Men),$61.56,http://shop.nordstrom.com/s/calvin-klein-jeans-zolton-sneaker-men/4310243?origin=category-personalizedsort&fashioncolor=DARK%20GREY%20DENIM,m
22,http://nord.imgix.net/Zoom/3/_12862783.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Steve Madden 'Webbar' Plain Toe Boot (Men),$120.99,http://shop.nordstrom.com/s/steve-madden-webbar-plain-toe-boot-men/4569900?origin=category-personalizedsort&fashioncolor=BLACK%20LEATHER,m
23,http://nord.imgix.net/Zoom/16/_12946176.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,1901 'Tyler' Chukka Boot (Men),$99.90,http://shop.nordstrom.com/s/1901-tyler-chukka-boot-men/4552930?origin=category-personalizedsort&fashioncolor=CHESTNUT%20LEATHER,m
24,http://nord.imgix.net/Zoom/18/_13175918.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Kole' Boot (Men),$105.00,http://shop.nordstrom.com/s/calvin-klein-jeans-kole-boot-men/4397245?origin=category-personalizedsort&fashioncolor=MOCHA%2F%20BLACK%20SUEDE,m
25,http://nord.imgix.net/Zoom/1/_13020281.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Andrew Marc 'Brookside' Chelsea Boot (Men),$109.99,http://shop.nordstrom.com/s/andrew-marc-brookside-chelsea-boot-men/4393114?origin=category-personalizedsort&fashioncolor=BROWN%2F%20CREAM%20LEATHER,m
26,http://nord.imgix.net/Zoom/4/_13153644.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Gable' Plain-Toe Combat Boot (Men),$115.99,http://shop.nordstrom.com/s/calvin-klein-gable-plain-toe-combat-boot-men/4589721?origin=category-personalizedsort&fashioncolor=DARK%20BROWN,m
27,http://nord.imgix.net/Zoom/10/_12737270.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Utah' Sneaker (Men),$68.56,http://shop.nordstrom.com/s/calvin-klein-jeans-utah-sneaker-men/4396733?origin=category-personalizedsort&fashioncolor=MIDNIGHT%2F%20BLACK,m
28,http://nord.imgix.net/Zoom/5/_13261465.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Kenneth Cole New York Coat N Tie Cap Toe Oxford (Men),$157.99,http://shop.nordstrom.com/s/kenneth-cole-new-york-coat-n-tie-cap-toe-oxford-men/4589818?origin=category-personalizedsort&fashioncolor=BLACK,m
29,http://nord.imgix.net/Zoom/1/_12152541.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Johnston & Murphy 'Matthews' Oxford Sneaker (Men),$109.90,http://shop.nordstrom.com/s/johnston-murphy-matthews-oxford-sneaker-men/4301819?origin=category-personalizedsort&fashioncolor=BROWN%20CALFSKIN,m
30,http://nord.imgix.net/Zoom/19/_13179579.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Timberland 'Carter' Waterproof Plain-Toe Derby (Men),$71.98,http://shop.nordstrom.com/s/timberland-carter-waterproof-plain-toe-derby-men/4331789?origin=category-personalizedsort&fashioncolor=BLACK,m
31,http://nord.imgix.net/Zoom/12/_9480772.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,UGG® Australia 'Brompton' Chukka Boot (Men),$129.90,http://shop.nordstrom.com/s/ugg-australia-brompton-chukka-boot-men/3730990?origin=category-personalizedsort&fashioncolor=GRIZZLY,m
32,http://nord.imgix.net/Zoom/10/_12781910.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Arturo' Sneaker (Men),$61.56,http://shop.nordstrom.com/s/calvin-klein-jeans-arturo-sneaker-men/4396732?origin=category-personalizedsort&fashioncolor=BLACK,m
33,http://nord.imgix.net/Zoom/0/_13177720.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn 'Joel' Moc Toe Derby (Men),$69.90,http://shop.nordstrom.com/s/born-joel-moc-toe-derby-men/4556938?origin=category-personalizedsort&fashioncolor=TAUPE,m
34,http://nord.imgix.net/Zoom/2/_13178022.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn 'Porto Mid' Chelsea Boot (Men),$99.99,http://shop.nordstrom.com/s/born-porto-mid-chelsea-boot-men/4552961?origin=category-personalizedsort&fashioncolor=DARK%20BROWN,m
35,http://nord.imgix.net/Zoom/15/_11998115.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Brooks 'PureCadence 5' Running Shoe (Men),$89.95,http://shop.nordstrom.com/s/brooks-purecadence-5-running-shoe-men/4163772?origin=category-personalizedsort&fashioncolor=BLACK%2F%20ELECTRIC%20BLUE,m
36,http://nord.imgix.net/Zoom/5/_11163865.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Frye 'Grand' High Lace Sneaker (Men),$216.00,http://shop.nordstrom.com/s/frye-grand-high-lace-sneaker-men/4108791?origin=category-personalizedsort&fashioncolor=BLACK,m
37,http://nord.imgix.net/Zoom/5/_13197385.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Mezlan Milis Apron Toe Oxford (Men),$234.90,http://shop.nordstrom.com/s/mezlan-milis-apron-toe-oxford-men/4374728?origin=category-personalizedsort&fashioncolor=BROWN,m
38,http://nord.imgix.net/Zoom/8/_13269848.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Kenneth Cole New York Take Five Chukka Boot (Men),$122.99,http://shop.nordstrom.com/s/kenneth-cole-new-york-take-five-chukka-boot-men/4370621?origin=category-personalizedsort&fashioncolor=GREY,m
39,http://nord.imgix.net/Zoom/17/_11119397.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Zanzara 'Becket' Cap Toe Derby (Men),$149.90,http://shop.nordstrom.com/s/zanzara-becket-cap-toe-derby-men/4067958?origin=category-personalizedsort&fashioncolor=BLACK,m
40,http://nord.imgix.net/Zoom/13/_13133673.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Arnaud' Sneaker (Men),$61.56,http://shop.nordstrom.com/s/calvin-klein-jeans-arnaud-sneaker-men/4549757?origin=category-personalizedsort&fashioncolor=BLUE%2F%20OFF%20WHITE,m
41,http://nord.imgix.net/Zoom/19/_13178119.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Zanzara 'Gauguin' Cap Toe Derby (Men),$129.90,http://shop.nordstrom.com/s/zanzara-gauguin-cap-toe-derby-men/4387481?origin=category-personalizedsort&fashioncolor=BROWN,m
42,http://nord.imgix.net/Zoom/14/_12915894.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Mezlan 'Marsala' High Top Sneaker (Men),$199.90,http://shop.nordstrom.com/s/mezlan-marsala-high-top-sneaker-men/4374196?origin=category-personalizedsort&fashioncolor=BURGUNDY,m
43,http://nord.imgix.net/Zoom/11/_13173911.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Hugo' Chelsea Boot (Men),$105.00,http://shop.nordstrom.com/s/calvin-klein-jeans-hugo-chelsea-boot-men/4397263?origin=category-personalizedsort&fashioncolor=MOCHA%20SUEDE,m
44,http://nord.imgix.net/Zoom/8/_10906148.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Steve Madden 'Harpoon' Derby (Men),$69.90,http://shop.nordstrom.com/s/steve-madden-harpoon-derby-men/4079570?origin=category-personalizedsort&fashioncolor=WOOD%20LEATHER,m
45,http://nord.imgix.net/Zoom/6/_12078886.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Vince Camuto 'Arleigh' Loafer (Men),$87.49,http://shop.nordstrom.com/s/vince-camuto-arleigh-loafer-men/4273676?origin=category-personalizedsort&fashioncolor=MOROCCAN%20BLUE%20SUEDE,m
46,http://nord.imgix.net/Zoom/0/_13150220.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Ted Baker London 'Hann 2' Wingtip (Men),$135.90,http://shop.nordstrom.com/s/ted-baker-london-hann-2-wingtip-men/4235291?origin=category-personalizedsort&fashioncolor=BLACK,m
47,http://nord.imgix.net/Zoom/11/_12200131.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Vince Camuto 'Nacher' Loafer (Men),$112.49,http://shop.nordstrom.com/s/vince-camuto-nacher-slip-on/4273659?origin=category-personalizedsort&fashioncolor=MIDNIGHT%20LEATHER,m
48,http://nord.imgix.net/Zoom/14/_12078974.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Vince Camuto 'Louden' Boot (Men),$124.98,http://shop.nordstrom.com/s/vince-camuto-louden-boot-men/4273620?origin=category-personalizedsort&fashioncolor=DARK%20RUST%20TUMBLED%20LEATHER,m
49,http://nord.imgix.net/Zoom/2/_13160142.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Andrew Marc 'Edson' Sneaker (Men),$99.99,http://shop.nordstrom.com/s/andrew-marc-edson-sneaker-men/4389568?origin=category-personalizedsort&fashioncolor=TOBACCO%2F%20BONE%20SUEDE,m
50,http://nord.imgix.net/Zoom/1/_13426301.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Steve Madden Joffrey Cap Toe Derby (Men),$72.99,http://shop.nordstrom.com/s/steve-madden-joffrey-cap-toe-derby-men/4589710?origin=category-personalizedsort&fashioncolor=BROWN%20LEATHER,m
51,http://nord.imgix.net/Zoom/10/_11213010.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Ted Baker London 'Epsalo' Cap Toe Boot (Men),$116.98,http://shop.nordstrom.com/s/ted-baker-london-epsalo-cap-toe-boot-men/4522842?origin=category-personalizedsort&fashioncolor=DARK%20GREEN,m
52,http://nord.imgix.net/Zoom/19/_12460419.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,John Varvatos Star USA 'Mick' Chukka Boot (Men),$123.98,http://shop.nordstrom.com/s/john-varvatos-star-usa-mick-chukka-boot-men/4318611?origin=category-personalizedsort&fashioncolor=LEAD%20SUEDE,m
53,http://nord.imgix.net/Zoom/4/_12359564.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Vince Camuto 'Quort' Sneaker (Men),$89.49,http://shop.nordstrom.com/s/vince-camuto-quort-sneaker-men/4330102?origin=category-personalizedsort&fashioncolor=CHOCOLATE%20SUEDE,m
54,http://nord.imgix.net/Zoom/4/_13170164.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Nox' Oxford (Men),$98.00,http://shop.nordstrom.com/s/calvin-klein-jeans-nox-oxford-men/4549760?origin=category-personalizedsort&fashioncolor=BLACK%20LEATHER,m
55,http://nord.imgix.net/Zoom/5/_12182245.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Zeus' Slip-On (Men),$61.56,http://shop.nordstrom.com/s/calvin-klein-jeans-zeus-slip-on-men/4310242?origin=category-personalizedsort&fashioncolor=MIDNIGHT%20BLUE%20DENIM,m
56,http://nord.imgix.net/Zoom/11/_10372691.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Sandro Moscoloni 'Paris' Leather Penny Loafer (Men),$89.90,http://shop.nordstrom.com/s/sandro-moscoloni-paris-leather-penny-loafer-men/4001270?origin=category-personalizedsort&fashioncolor=BLACK,m
57,http://nord.imgix.net/Zoom/16/_12254176.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Frye 'Joel' Chukka Boot (Men),$208.60,http://shop.nordstrom.com/s/frye-joel-chukka-boot-men/4323829?origin=category-personalizedsort&fashioncolor=NUTMEG%20NUBUCK%20LEATHER,m
58,http://nord.imgix.net/Zoom/18/_11964418.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Clarks® Originals 'Desert Mali' Boot (Men),$115.90,http://shop.nordstrom.com/s/clarks-desret-mali-boot/4510087?origin=category-personalizedsort&fashioncolor=TAUPE%20DISTRESSED,m
59,http://nord.imgix.net/Zoom/8/_11529128.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Zanzara 'Northstar' Cap Toe Boot (Men),$119.90,http://shop.nordstrom.com/s/zanzara-northstar-cap-toe-boot-men/4188775?origin=category-personalizedsort&fashioncolor=COGNAC%20LEATHER,m
60,http://nord.imgix.net/Zoom/7/_12849167.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Geox 'Nebula 24' Slip-On Sneaker (Men),$119.99,http://shop.nordstrom.com/s/geox-nebula-24-slip-on-sneaker-men/4589751?origin=category-personalizedsort&fashioncolor=NAVY%2F%20ORANGE%20SUEDE,m
61,http://nord.imgix.net/Zoom/8/_13179568.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn 'Neuman' Moc Toe Boot (Men),$76.90,http://shop.nordstrom.com/s/born-neuman-moc-toe-boot-men/4557015?origin=category-personalizedsort&fashioncolor=TAUPE,m
62,http://nord.imgix.net/Zoom/17/_12770617.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Aron' High Top Sneaker (Men),$68.56,http://shop.nordstrom.com/s/calvin-klein-jeans-aron-high-top-sneaker-men/4396731?origin=category-personalizedsort&fashioncolor=BLACK,m
63,http://nord.imgix.net/Zoom/13/_12942893.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,New Balance 'Vazee 2090v1' Running Shoe (Men),$139.95,http://shop.nordstrom.com/s/new-balance-vazee-2090v1-running-shoe-men/4589776?origin=category-personalizedsort&fashioncolor=BLACK%2F%20YELLOW,m
64,http://nord.imgix.net/Zoom/11/_11325671.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Timberland 'Westhaven' Cap Toe Boot (Men),$164.95,http://shop.nordstrom.com/s/timberlandwesthaven-cap-toe-boot-men/4025839?origin=category-personalizedsort&fashioncolor=BLACK%20LEATHER,m
65,http://nord.imgix.net/Zoom/9/_11717749.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Trask 'Austin' Boot (Men),$289.90,http://shop.nordstrom.com/s/trask-austin-boot-men/4446578?origin=category-personalizedsort&fashioncolor=WHISKEY%20LEATHER,m
66,http://nord.imgix.net/Zoom/4/_13170164.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Nox' Oxford (Men),$98.00,http://shop.nordstrom.com/s/calvin-klein-jeans-nox-oxford-men/4549760?origin=category-personalizedsort&fashioncolor=BLACK%20LEATHER,m
67,http://nord.imgix.net/Zoom/16/_12254176.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Frye 'Joel' Chukka Boot (Men),$208.60,http://shop.nordstrom.com/s/frye-joel-chukka-boot-men/4323829?origin=category-personalizedsort&fashioncolor=NUTMEG%20NUBUCK%20LEATHER,m
68,http://nord.imgix.net/Zoom/18/_11964418.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Clarks® Originals 'Desert Mali' Boot (Men),$115.90,http://shop.nordstrom.com/s/clarks-desret-mali-boot/4510087?origin=category-personalizedsort&fashioncolor=TAUPE%20DISTRESSED,m
69,http://nord.imgix.net/Zoom/8/_11529128.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Zanzara 'Northstar' Cap Toe Boot (Men),$119.90,http://shop.nordstrom.com/s/zanzara-northstar-cap-toe-boot-men/4188775?origin=category-personalizedsort&fashioncolor=COGNAC%20LEATHER,m
70,http://nord.imgix.net/Zoom/7/_12849167.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Geox 'Nebula 24' Slip-On Sneaker (Men),$119.99,http://shop.nordstrom.com/s/geox-nebula-24-slip-on-sneaker-men/4589751?origin=category-personalizedsort&fashioncolor=NAVY%2F%20ORANGE%20SUEDE,m
71,http://nord.imgix.net/Zoom/8/_13179568.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn 'Neuman' Moc Toe Boot (Men),$76.90,http://shop.nordstrom.com/s/born-neuman-moc-toe-boot-men/4557015?origin=category-personalizedsort&fashioncolor=TAUPE,m
72,http://nord.imgix.net/Zoom/17/_12770617.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein Jeans 'Aron' High Top Sneaker (Men),$68.56,http://shop.nordstrom.com/s/calvin-klein-jeans-aron-high-top-sneaker-men/4396731?origin=category-personalizedsort&fashioncolor=BLACK,m
73,http://nord.imgix.net/Zoom/13/_12942893.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,New Balance 'Vazee 2090v1' Running Shoe (Men),$139.95,http://shop.nordstrom.com/s/new-balance-vazee-2090v1-running-shoe-men/4589776?origin=category-personalizedsort&fashioncolor=BLACK%2F%20YELLOW,m
74,http://nord.imgix.net/Zoom/11/_11325671.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Timberland 'Westhaven' Cap Toe Boot (Men),$164.95,http://shop.nordstrom.com/s/timberlandwesthaven-cap-toe-boot-men/4025839?origin=category-personalizedsort&fashioncolor=BLACK%20LEATHER,m
75,http://nord.imgix.net/Zoom/9/_11717749.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Trask 'Austin' Boot (Men),$289.90,http://shop.nordstrom.com/s/trask-austin-boot-men/4446578?origin=category-personalizedsort&fashioncolor=WHISKEY%20LEATHER,m
76,http://nord.imgix.net/Zoom/9/_13007729.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Børn 'Murray' Moc Toe Boot (Men),$79.90,http://shop.nordstrom.com/s/born-murray-moc-toe-boot-men/4385743?origin=category-personalizedsort&fashioncolor=GREY,m
77,http://nord.imgix.net/Zoom/14/_10644974.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Bed Stu 'Hoover' Boot (Men),$145.00,http://shop.nordstrom.com/s/bed-stu-hoover-boot-men/4589708?origin=category-personalizedsort&fashioncolor=BLACK,m
78,http://nord.imgix.net/Zoom/2/_12075342.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Trask 'Dane' Driving Shoe (Men),$167.90,http://shop.nordstrom.com/s/trask-dane-driving-shoe-men/4547484?origin=category-personalizedsort&fashioncolor=SCOTCH,m
79,http://nord.imgix.net/Zoom/13/_13460553.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Mezlan Sabino Cap Toe Boot (Men),$319.90,http://shop.nordstrom.com/s/mezlan-sabino-cap-toe-boot-men/4374216?origin=category-personalizedsort&fashioncolor=BLACK,m
80,http://nord.imgix.net/Zoom/9/_12997409.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,J&M 1850 'Allister' Cap Toe Sneaker (Men),$67.49,http://shop.nordstrom.com/s/jm-1850-allister-cap-toe-sneaker-men/4568570?origin=category-personalizedsort&fashioncolor=BROWN,m
81,http://nord.imgix.net/Zoom/4/_13154104.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Calvin Klein 'Benji' Apron Toe Derby (Men),$84.90,http://shop.nordstrom.com/s/calvin-klein-benji-apron-toe-derby-men/4371685?origin=category-personalizedsort&fashioncolor=BLACK,m
82,http://nord.imgix.net/Zoom/12/_12176372.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Mezlan 'Cabrillo' High Top Sneaker (Men),$199.90,http://shop.nordstrom.com/s/mezlan-cabrillo-high-top-sneaker-men/4316284?origin=category-personalizedsort&fashioncolor=BLACK%20PATTERNED%20SUEDE,m
83,http://nord.imgix.net/Zoom/9/_13073569.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&q=30,Ted Baker London 'Guri 8' Wingtip (Men),$179.90,http://shop.nordstrom.com/s/ted-baker-london-guri-8-wingtip-men/4537370?origin=category-personalizedsort&fashioncolor=BROWN,m
